# {"env_id": "Madras-v0", "t_start": 1553809260.263627} 
r,l,t
-166.946056,10000,39.719318
-714.329026,10000,77.892757
-4003.067179,10000,115.654282
-3818.773917,10000,156.112998
-2307.106185,10000,194.8312
-4473.4642,10000,234.034814
-1433.960007,10000,270.586662
-1235.237605,10000,308.577296
-238.103921,10000,346.459427
41.340828,10000,379.018128
-73.998627,10000,411.468882
-474.195451,10000,444.549643
-207.01932,10000,476.714956
-477.512946,10000,510.106392
-823.667149,10000,543.982918
-271.690692,155,547.428956
-320.587556,153,549.851249
-261.343868,153,552.307585
-26757.70069,6503,578.891682
-12233.84961,3648,595.837348
-267.461789,153,598.418941
-217.072768,158,601.020737
-8832.971982,8815,634.563925
-415.050202,157,637.008981
-279.823706,162,640.692952
-9388.960603,971,646.064415
-249.959937,158,648.72552
-410.03952,156,651.38886
-13168.262532,4793,671.597919
-4547.54194,4994,693.253303
-395.99445,160,695.859515
-5472.235121,6681,721.83467
-8012.078963,363,725.116527
-5332.134582,1595,733.29041
-5853.981937,10000,767.130671
-270.936303,152,770.701936
-188.940657,171,773.268238
-1651.885988,6548,800.391111
-337.058801,170,802.84156
-2432.760095,3065,818.035934
-534.052114,163,820.688154
-401.956974,181,823.518689
-1620.101427,335,826.936329
-1731.175926,1526,834.717958
-319.688379,155,837.158869
-379.638097,176,839.736753
-585.821932,216,842.475431
-2087.173976,212,845.245611
-406.383066,169,847.765795
-238.634515,160,850.282332
-534.620672,166,853.006578
-271.958219,152,855.530006
-639.796063,169,858.290721
-347.465567,154,860.835302
-423.3048,158,863.282385
-1746.690757,213,866.203794
-697.833774,167,868.748821
-301.940386,153,871.405724
-305.010825,157,874.003628
-939.809655,207,878.73418
-490.136399,167,881.275605
-355.914097,153,883.83257
-41.380154,10000,921.110897
173.138281,10000,958.485242
-306.440636,158,961.071558
-244.209383,153,963.526144
-455.11412,10000,1000.828607
-327.629901,157,1003.31134
-3570.445585,1023,1009.465583
-4475.105172,5376,1030.628441
-770.396838,209,1033.405183
-390.424306,158,1035.912016
-279.120586,156,1038.461421
-772.595256,168,1041.041719
-710.547842,164,1043.54869
-451.877891,172,1046.08748
-328.098872,153,1048.776909
-5148.84393,8122,1079.127141
-1718.471496,217,1081.822767
-371.978077,168,1084.435867
-3081.029204,240,1087.091537
-329.265527,156,1089.654928
-263.075773,152,1092.197448
-2482.457708,1835,1101.245945
-1917.498509,2813,1113.155564
-442.928705,161,1115.865432
-5128.740565,9618,1150.546044
-588.980731,231,1153.278448
-2744.463037,219,1155.982216
-273.532579,153,1158.627889
-4084.917195,3362,1174.299023
-379.421255,154,1176.757706
-2028.819952,282,1180.019197
-744.296803,169,1182.596305
-361.150655,154,1185.375787
-1530.285396,194,1188.075609
-400.464416,160,1190.809344
-1017.586989,199,1193.566761
-347.392605,162,1196.109418
-690.191493,184,1198.824626
-435.972031,161,1201.335513
-1166.548521,216,1204.236293
-312.128464,157,1206.86829
-924.686184,167,1209.556766
-2022.523119,1536,1217.23123
-2040.535607,619,1223.295301
-817.957709,185,1226.00481
-272.756133,160,1228.559068
-848.462221,7848,1257.854036
-2770.025098,231,1260.683623
-340.515059,159,1263.330697
-1750.583786,2571,1274.469519
-1713.430585,1757,1283.145238
-220.046209,158,1285.901211
-2764.306258,207,1288.748278
-1953.175019,204,1291.492536
-452.21618,177,1294.081207
-239.917719,156,1296.578808
-4109.980771,1313,1304.68502
-2600.188656,2957,1317.95456
-571.761003,167,1320.854253
-310.622246,161,1323.411732
-4537.41834,8410,1353.308814
-4172.112114,5568,1374.861618
-343.022684,154,1377.354578
-404.205149,10000,1413.133951
-3470.226892,10000,1449.37427
-4132.514871,10000,1484.815556
-349.425118,154,1487.25788
-273.66294,153,1489.704917
-415.024697,188,1492.508282
-5265.170402,10000,1527.850185
-549.949858,10000,1565.041011
-445.609158,160,1567.517793
-269.980399,152,1570.152892
-793.206928,10000,1604.656903
-492.407854,10000,1639.370322
-335.632979,155,1641.872812
-578.007375,10000,1676.524814
-1132.847131,10000,1712.327311
-483.134286,10000,1745.896231
-1421.423881,4796,1764.112821
1358.12171,10000,1799.489633
7579.125897,10000,1835.797242
1334.210981,10000,1871.470673
471.870415,10000,1907.119371
873.016093,10000,1942.646598
738.957003,10000,1976.478724
871.826426,10000,2012.301968
986.915983,10000,2048.963043
1146.192224,10000,2085.590756
1687.06959,10000,2120.645636
1491.493065,10000,2157.27949
1430.392829,10000,2193.342941
8494.520119,1416,2203.194405
47939.620316,10000,2242.677448
133770.064476,6507,2270.282654
4014.385096,10000,2308.643051
21490.00446,10000,2347.161139
16767.700199,10000,2384.380888
4456.124282,10000,2421.640714
-277.912324,10000,2459.871291
-1463.28798,10000,2497.580492
-961.051222,10000,2535.100621
72.744524,10000,2572.706392
19812.482118,10000,2609.967443
95213.157674,10000,2647.277774
7183.426907,10000,2685.043188
545.821741,10000,2723.501326
680.242302,10000,2761.436477
576.970556,10000,2798.579346
891.982563,10000,2837.533318
857.57508,10000,2875.98912
711.665702,10000,2914.889514
-336.483674,10000,2953.163575
-513.175067,10000,2991.079655
-87.109407,180,2993.740322
839.324991,10000,3031.8471
-795.990733,10000,3070.55006
-1135.300101,10000,3109.216147
-1316.455773,10000,3147.319947
1577.019258,10000,3184.913757
3697.137747,10000,3224.18258
368.165864,10000,3262.566333
666.182179,10000,3300.584652
99.038512,10000,3339.695147
-457.904791,10000,3377.866504
677.452795,10000,3415.378846
536.824831,10000,3452.099871
535.96525,10000,3490.56092
1337.721226,10000,3529.008836
1547.470593,10000,3568.564321
2825.403909,10000,3606.564106
1502.398392,10000,3644.288147
-708.485457,10000,3682.17749
604.658017,10000,3720.648161
-138.192849,10000,3758.080505
581.020504,10000,3798.025855
2192.052599,10000,3837.243414
699.846818,10000,3874.669009
551.708524,10000,3913.685762
930.139347,10000,3952.927004
594.783439,10000,3990.767249
405.89791,10000,4030.081671
836.748565,10000,4068.631929
1418.559699,10000,4107.3609
884.460455,10000,4146.794039
2921.747283,10000,4186.176726
1218.852748,10000,4224.276248
1806.393788,10000,4263.399368
2817.342463,10000,4301.456232
1545.83533,10000,4340.330546
1919.133207,10000,4379.119895
1705.589959,10000,4417.629618
1190.953039,10000,4456.47862
4671.985419,10000,4495.819883
2174.539692,10000,4534.611711
5666.140944,10000,4573.53087
121664.269385,10000,4613.766821
17347.112468,10000,4653.724722
8697.970549,10000,4693.134067
198.910833,10000,4732.63348
2264.008896,10000,4771.846821
7196.857382,10000,4811.476773
1875.533391,10000,4849.901034
3696.395005,10000,4888.838495
4157.63654,10000,4926.902883
1600.701858,10000,4967.526833
2726.396059,10000,5006.404847
1933.941544,10000,5045.351774
5403.791672,10000,5084.170777
10598.351744,10000,5124.67669
1374.911122,10000,5164.907437
1525.503092,10000,5205.363245
1032.57094,10000,5244.222739
3179.349172,10000,5284.242147
6317.058375,10000,5324.950909
3266.152947,10000,5365.557248
1426.59892,10000,5405.990726
2135.548074,10000,5444.855266
3114.583434,10000,5484.273486
2233.239434,10000,5523.679731
2335.487334,10000,5557.922755
2375.099338,10000,5590.330532
2107.015744,10000,5622.120323
1698.662128,10000,5651.793496
2103.238728,10000,5681.057344
2121.669946,10000,5710.008396
1687.895504,10000,5741.807349
1217.745809,10000,5770.388089
1437.214839,10000,5795.275679
1421.977107,10000,5820.278326
1576.912578,10000,5845.43912
971.578769,10000,5870.614259
1462.20951,10000,5895.918638
1858.39918,10000,5921.29758
1373.480727,10000,5946.427455
1751.500583,10000,5971.668946
2402.089134,10000,5996.963419
1430.769063,10000,6022.567327
1439.343392,10000,6049.734499
565.628838,10000,6087.549638
731.627084,10000,6129.638956
1941.768015,10000,6170.130341
879.761637,10000,6209.567013
888.376921,10000,6248.631161
859.503044,10000,6289.379666
786.966538,10000,6330.551561
1705.402104,10000,6369.467713
1315.596358,10000,6409.808132
1772.711193,10000,6450.793351
2038.689399,10000,6491.056593
2970.784677,10000,6531.768815
16054.213582,10000,6572.673793
3138.210963,10000,6613.910699
1394.607088,10000,6653.728973
47624.529208,10000,6695.315117
17144.080945,10000,6736.874117
68463.565321,10000,6778.130369
39596.18277,10000,6818.911891
1334.035906,10000,6859.937355
1644.213424,10000,6900.71964
3003.084971,10000,6942.037462
2158.233407,10000,6982.6561
74232.39803,10000,7023.73303
53149.031312,10000,7064.328563
70617.905038,10000,7106.974769
112873.140891,10000,7149.249677
1491.259955,10000,7191.637764
7192.207471,10000,7232.715094
115893.311272,10000,7274.524201
70299.924999,1341,7281.438609
16128.869413,10000,7320.982495
38846.270799,1024,7327.250914
30480.258417,10000,7365.857682
10831.584957,2008,7378.876657
57062.573219,1741,7387.659874
7985.827884,2294,7402.232603
-49073.160418,2761,7415.053302
-10952.776831,1862,7424.441617
6987.507834,9947,7462.246648
20204.182996,10000,7500.583422
6925.106547,10000,7538.636234
-8710.153972,10000,7577.670088
-23815.395037,1967,7589.527752
141587.726074,10000,7631.462013
8034.191414,2455,7642.974794
-26334.262019,1733,7654.424269
137189.274377,10000,7697.782892
47348.138511,2145,7707.731239
128249.219891,10000,7748.434289
47959.120009,10000,7787.999528
163800.750576,10000,7828.949991
70791.034855,10000,7869.053164
16155.533601,10000,7909.914951
14954.551242,10000,7949.690117
15802.590387,10000,7990.810648
47735.544674,10000,8030.331709
15117.193441,10000,8070.120368
57189.660277,10000,8111.715506
39627.263413,10000,8151.207912
18131.660515,10000,8190.71746
26076.053034,10000,8231.772233
21398.797478,10000,8271.283348
16507.078269,10000,8312.59842
12610.373354,10000,8353.384511
50818.175196,1334,8360.771167
14825.789337,924,8369.756582
41972.006483,10000,8413.507884
76422.517394,10000,8457.637487
116346.469332,10000,8501.303976
287141.139714,10000,8545.177712
148784.564724,4771,8569.423303
101620.143313,10000,8612.880307
266628.694903,10000,8657.628851
54843.272615,10000,8702.198138
171535.953636,10000,8746.32291
235890.434946,10000,8789.725821
232589.923273,10000,8833.955348
38543.361632,10000,8878.481188
151650.479836,10000,8923.876474
210716.98047,10000,8969.577504
39276.590235,10000,9013.851605
38187.016035,10000,9058.521175
27694.272992,819,9063.600468
158450.742963,10000,9107.470936
207001.322874,10000,9152.674412
194548.89448,7065,9184.184599
202544.410846,4776,9206.193285
176397.870498,7776,9241.584831
266711.731222,10000,9286.170238
17212.615557,10000,9330.40416
22821.947743,10000,9374.118245
20723.840445,10000,9418.390279
37052.349393,10000,9463.702136
42253.526731,10000,9508.171254
128102.650498,10000,9553.513083
216645.212049,4707,9578.71438
154103.924814,10000,9622.938718
91966.308706,10000,9667.586927
270269.499285,10000,9712.457153
211360.341064,10000,9757.484894
183689.119025,10000,9802.603781
171880.935949,10000,9846.711488
181285.184971,4883,9873.222771
171526.226292,3852,9890.567966
